,Player,Nation,Pos,Squad,90s,Att,Succ,Succ%,NoCol,player_id
389,Simone Pafundi,it ITA,MFFW,Udinese,0.9,7.78,2.22,28.6,8daee720
390,Flavio Paoletti,it ITA,MF,Sampdoria,1.7,1.18,0.59,50.0,3d6cee81
391,Leandro Paredes,ar ARG,MF,Juventus,10.4,0.58,0.38,66.7,dff153a4
392,Fabiano Parisi,it ITA,DF,Empoli,31.4,4.11,2.04,49.6,0967845b,1093285
393,Mario Pašalić,hr CRO,MFFW,Atalanta,18.4,1.20,0.38,31.8,e599253a
394,Patric,es ESP,DF,Lazio,14.7,0.20,0.14,66.7,f7223718
395,Rui Patrício,pt POR,GK,Roma,35.0,0.00,0.00,,79b0d6a0
396,Pedro,es ESP,FW,Lazio,19.7,3.30,1.57,47.7,3ca7254a
397,Gianluca Pegolo,it ITA,GK,Sassuolo,2.0,0.00,0.00,,f058ed1f
398,Pietro Pellegri,it ITA,FW,Torino,5.1,3.14,0.59,18.8,a44d3a3c
399,Lorenzo Pellegrini,it ITA,MF,Roma,27.3,2.78,1.17,42.1,4a5a45c7
400,Luca Pellegrini,it ITA,DF,Lazio,0.9,5.56,2.22,40.0,3b61c9ec
401,Pepín,gq EQG,MF,Monza,12.4,1.61,0.56,35.0,7afb1573
402,Roberto Pereyra,ar ARG,DFMF,Udinese,29.3,3.21,1.26,39.4,75f2c59f
403,Nehuén Pérez,ar ARG,DF,Udinese,29.3,0.34,0.14,40.0,f7c491f1
404,Simone Perilli,it ITA,GK,Hellas Verona,1.0,0.00,0.00,,b9e11c1d
405,Mattia Perin,it ITA,GK,Juventus,10.5,0.00,0.00,,4c62d0c8
406,Samuele Perisan,it ITA,GK,Empoli,7.0,0.00,0.00,,00a17eba
407,Matteo Pessina,it ITA,MF,Monza,30.6,1.80,1.08,60.0,780e3631
408,Andrea Petagna,it ITA,FW,Monza,17.6,2.05,1.08,52.8,03f946ed
409,Giuseppe Pezzella,it ITA,DF,Lecce,9.9,1.82,0.71,38.9,149c5f5d
410,Krzysztof Piątek,pl POL,FW,Salernitana,21.8,0.87,0.41,47.4,17f3620a
411,Roberto Piccoli,it ITA,FW,Hellas Verona,2.1,1.43,0.48,33.3,1cadaf34
412,Roberto Piccoli,it ITA,FW,Empoli,4.3,4.19,1.86,44.4,1cadaf34
413,Charles Pickel,ch SUI,MF,Cremonese,25.6,0.66,0.16,23.5,f71ad8cb
414,Andrea Pinamonti,it ITA,FW,Sassuolo,22.3,1.26,0.45,35.7,08aa9cd1
415,Lorenzo Pirola,it ITA,DF,Salernitana,19.6,0.36,0.20,57.1,caec77da
416,Niccolò Pisilli,it ITA,MF,Roma,0.0,0,0,,c84dcc88
417,Marko Pjaca,hr CRO,MFFW,Empoli,5.8,6.55,3.97,60.5,2c38b327
418,Tommaso Pobega,it ITA,MF,Milan,9.5,0.53,0.21,40.0,55a1cac2
419,Paul Pogba,fr FRA,MFFW,Juventus,1.2,6.67,5.00,75.0,867239d3
420,Matteo Politano,it ITA,FW,Napoli,13.0,4.23,1.77,41.8,5e861944
421,Marin Pongračić,hr CRO,DF,Lecce,8.8,0.23,0.23,100.0,2a6cd437
422,Stefan Posch,at AUT,DF,Bologna,26.5,1.21,0.49,40.6,7f609bfc
423,Ivan Provedel,it ITA,GK,Lazio,35.9,0.03,0.03,100.0,277da414
424,Ignacio Pussetto,ar ARG,MFDF,Sampdoria,1.7,1.76,0.59,33.3,62437b4f
425,Niklas Pyyhtiä,fi FIN,MF,Bologna,0.9,0.00,0.00,,88f53b75
426,Fabio Quagliarella,it ITA,FW,Sampdoria,7.0,1.00,0.29,28.6,ee4f2f3b
427,Giacomo Quagliata,it ITA,DF,Cremonese,7.5,2.93,1.07,36.4,1b9c7401
428,Adrien Rabiot,fr FRA,MF,Juventus,28.5,1.79,0.91,51.0,8794e251
429,Nemanja Radonjić,rs SRB,MFFW,Torino,16.2,7.41,3.09,41.7,0630eb63
430,Ivan Radovanović,rs SRB,MFDF,Salernitana,7.5,0.13,0.00,0.0,023937a9
431,Ionuț Radu,ro ROU,GK,Cremonese,9.0,0.00,0.00,,67f649be
432,Antonio Raimondo,it ITA,FW,Bologna,0.2,0.00,0.00,,ce1a6c7e
433,Luca Ranieri,it ITA,DF,Fiorentina,4.6,0.43,0.22,50.0,8c63fae5
434,Andrea Ranocchia,it ITA,DF,Monza,0.5,0.00,0.00,,539230cf
435,Filippo Ranocchia,it ITA,MF,Monza,5.9,2.54,1.36,53.3,d9ebed1c
436,Giacomo Raspadori,it ITA,FWMF,Napoli,9.6,2.19,0.83,38.1,6e058f06
437,Giacomo Raspadori,it ITA,FW,Sassuolo,0.5,0.00,0.00,,6e058f06
438,Nicola Ravaglia,it ITA,GK,Sampdoria,9.0,0.00,0.00,,d7a35008
439,Ante Rebić,hr CRO,FWMF,Milan,10.9,2.84,1.38,48.4,536cebe5
440,Arkadiusz Reca,pl POL,DF,Spezia,22.1,2.49,0.86,34.5,6213fd82
441,Panagiotis Retsos,gr GRE,DF,Hellas Verona,1.4,0.71,0.71,100.0,4bd00a50
442,Franck Ribéry,fr FRA,MF,Salernitana,0.4,7.50,0.00,0.0,f61c7c4e
443,Samuele Ricci,it ITA,MF,Torino,21.2,1.18,0.33,28.0,9823be92
444,Tomás Rincón,ve VEN,MF,Sampdoria,26.8,1.60,0.90,55.8,f1cfc209
445,Pablo Rodríguez,es ESP,FWMF,Lecce,0.6,1.67,0.00,0.0,1d4e63b6
446,Ricardo Rodríguez,ch SUI,DF,Torino,28.0,0.43,0.21,50.0,7f78ad23
447,Rogério,br BRA,DF,Sassuolo,31.3,1.18,0.70,59.5,10e7f486
448,Alessio Romagnoli,it ITA,DF,Lazio,30.7,0.03,0.03,100.0,3ead85f9
449,Simone Romagnoli,it ITA,DF,Lecce,1.9,0.00,0.00,,09899de8
450,Luka Romero,ar ARG,FW,Lazio,1.7,5.88,1.18,20.0,ca6edaa0
451,Marten de Roon,nl NED,MF,Atalanta,30.9,0.29,0.10,33.3,2a1beb34
452,Nicolò Rovella,it ITA,MF,Monza,17.8,0.84,0.34,40.0,e58cbfd5
453,Nicolò Rovella,it ITA,MF,Juventus,0.3,6.67,6.67,100.0,e58cbfd5
454,Amir Rrahmani,xk KVX,DF,Napoli,25.2,0.16,0.08,50.0,4b3e1a38
455,Ruan,br BRA,DF,Sassuolo,18.1,0.22,0.17,75.0,a378a02a
456,Daniele Rugani,it ITA,DF,Juventus,6.3,0.16,0.16,100.0,14b8fcdf
457,Matteo Ruggeri,it ITA,DFMF,Atalanta,9.2,0.98,0.43,44.4,ae9898c5
458,Mário Rui,pt POR,DF,Napoli,18.6,0.86,0.43,50.0,0b5a292a
459,Abdelhamid Sabiri,ma MAR,MFFW,Sampdoria,11.9,3.28,1.18,35.9,4830e0af
460,Alexis Saelemaekers,be BEL,FWDF,Milan,15.1,4.37,1.92,43.9,ee251371
461,Jacopo Sala,it ITA,MF,Spezia,1.2,2.50,0.00,0.0,da5a981b
462,Lazar Samardzic,rs SRB,MF,Udinese,18.6,3.12,1.29,41.4,217c93a1
463,Junior Sambia,fr FRA,DF,Salernitana,7.3,3.70,1.23,33.3,24eb7ed6
464,Antonio Sanabria,py PAR,FW,Torino,25.0,1.48,0.84,56.8,0a447501
465,Leandro Sanca,pt POR,FWMF,Spezia,0.4,12.5,7.50,60.0,4295f19c
466,Alex Sandro,br BRA,DF,Juventus,19.9,1.41,0.95,67.9,0d82903c
467,Nicola Sansone,it ITA,FW,Bologna,7.5,2.53,0.53,21.1,7eb97a8e
468,Riccardo Saponara,it ITA,FW,Fiorentina,12.6,3.10,1.27,41.0,3bb7af3b
469,Martin Satriano,uy URU,FW,Empoli,18.5,2.54,0.92,36.2,86383d0e
470,Giorgio Scalvini,it ITA,DF,Atalanta,24.3,0.95,0.41,43.5,1e9aa637
471,Jerdy Schouten,nl NED,MF,Bologna,26.9,1.67,0.97,57.8,2cfae697
472,Perr Schuurs,nl NED,DF,Torino,24.1,0.50,0.33,66.7,e613313c
473,Demba Seck,sn SEN,MFFW,Torino,5.6,5.18,2.68,51.7,16463a79
474,Jacopo Segre,it ITA,DF,Torino,0.2,0.00,0.00,,3cb132e6
475,Vivaldo Semedo,pt POR,MFFW,Udinese,0.3,0.00,0.00,,b6baba31
476,Stefano Sensi,it ITA,MF,Monza,17.5,1.54,0.63,40.7,b70bde8f
477,Luigi Sepe,it ITA,GK,Salernitana,17.0,0.00,0.00,,343f753a
478,Leonardo Sernicola,it ITA,DF,Cremonese,24.6,2.24,0.93,41.8,dd7febd8
479,Stephan El Shaarawy,it ITA,DFMF,Roma,15.4,4.22,1.49,35.4,d3aaad90
480,Eldor Shomurodov,uz UZB,FW,Spezia,9.0,2.78,0.89,32.0,57469b2d
481,Eldor Shomurodov,uz UZB,FW,Roma,1.3,3.08,0.77,25.0,57469b2d
482,Marco Silvestri,it ITA,GK,Udinese,36.0,0.00,0.00,,0d422df7
483,Giovanni Simeone,ar ARG,FW,Napoli,4.1,3.41,1.46,42.9,343c0d52
484,Wilfried Singo,ci CIV,DF,Torino,20.9,2.49,1.44,57.7,8b609c34
485,Salvatore Sirigu,it ITA,GK,Fiorentina,1.0,0.00,0.00,,10dc46f0
486,Leo Skiri Østigård,no NOR,DF,Napoli,3.7,0.00,0.00,,b35a7399
487,Łukasz Skorupski,pl POL,GK,Bologna,35.0,0.00,0.00,,ab4449d6
488,Milan Škriniar,sk SVK,DF,Inter,19.7,0.15,0.15,100.0,30f5ffa9
489,Chris Smalling,eng ENG,DF,Roma,29.7,0.13,0.07,50.0,b6964eb6
490,Ola Solbakken,no NOR,MFFW,Roma,4.8,2.71,1.04,38.5,78f13530
491,Brandon Soppy,fr FRA,DF,Udinese,1.0,6.00,1.00,16.7,28f66c2e
492,Brandon Soppy,fr FRA,DF,Atalanta,7.1,3.66,0.85,23.1,28f66c2e
493,Roberto Soriano,it ITA,FWMF,Bologna,14.7,0.95,0.41,42.9,9d4c45d6
494,Joaquin Sosa,uy URU,DF,Bologna,7.6,0.53,0.39,75.0,50841bef
